Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123177105,"Reina Roja. Czerwona Królowa (Antonia Scott, #1)",Juan Gómez-Jurado,"Gómez-Jurado, Juan",Barbara Bardadyn,"=""8382107052""","=""9788382107050""",4,4.10,Wydawnictwo SQN,Paperback,544,2023,2018,2023/08/04,2023/07/14,,,read,,,,1,0
20417243,"Droga królów (Archiwum Burzowego Światła, #1)",Brandon Sanderson,"Sanderson, Brandon",Anna Studniarek,"=""8374804211""","=""9788374804219""",0,4.66,MAG,Paperback,960,2014,2010,,2023/08/04,to-read,to-read (#75),to-read,,,,0,0
55048633,"Szkoła bohaterek i bohaterów, czyli jak sobie radzić z życiem",Przemek Staroń,"Staroń, Przemek",Marta Ruszkowska,"=""832683615X""","=""9788326836152""",5,4.29,Agora,Hardcover,300,2020,2020,2022/12/22,2022/10/31,"home-library, bought-in-2022","home-library (#198), bought-in-2022 (#35)",read,Super dla około 12-13 lat i wyzej.,,,1,0
1367304,"Harry Potter i Komnata Tajemnic (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.","Andrzej Polkowski, Mary GrandPré","=""8372780072""","=""9788372780072""",5,4.43,Media Rodzina,Paperback,366,2000,1998,2023/07/27,2023/04/24,,,read,,,,2,0
36551041,"Kosiarze (Żniwa śmierci, #1)",Neal Shusterman,"Shusterman, Neal","Katarzyna Agnieszka Dyrek, Marcin Popczyński","=""8380753593""","=""9788380753594""",0,4.33, Filia / Storyside,Audiobook,,2017,2016,,2023/08/01,to-read,to-read (#74),to-read,,,,0,0
63005962,"Uciekaj (Hydropolis, #1)",Zygmunt Miloszewski,"Miloszewski, Zygmunt",Piotr Sokołowski,"=""""","=""9788383182513""",0,3.91,W.A.B.,Hardcover,192,2022,2022,,2023/08/01,to-read-with-kids,to-read-with-kids (#28),to-read-with-kids,,,,0,0
58868666,"Szkoła bohaterek i bohaterów 2, czyli jak sobie radzić ze złem",Przemek Staroń,"Staroń, Przemek",Marta Ruszkowska,"=""""","=""""",0,4.23,Agora,Hardcover,352,2021,2021,,2022/10/31,"waiting-to-be-read, home-library","waiting-to-be-read (#29), home-library (#205)",waiting-to-be-read,,,,0,0
124934451,Tak właśnie przegrywasz Wojnę Czasu,Amal El-Mohtar,"El-Mohtar, Amal","Max Gladstone, Anna Warso","=""8383185855""","=""9788383185859""",0,3.92,Uroboros,Hardcover,192,2023,2019,,2023/08/01,to-read,to-read (#73),to-read,,,,0,0
12842828,Keeper of the Lost Cities,Shannon Messenger,"Messenger, Shannon",,"=""1442445939""","=""9781442445932""",0,4.42,Aladdin,Hardcover,496,2012,2012,,2023/04/28,waiting-to-be-read,waiting-to-be-read (#28),waiting-to-be-read,,,,0,0
38328081,"Koniec śmierci (Wspomnienie o przeszłości Ziemi, #3)",Liu Cixin,"Cixin, Liu",Andrzej Jankowski,"=""8380622855""","=""9788380622852""",5,4.43,Dom Wydawniczy Rebis,Paperback,840,2018,2010,2023/07/12,2023/07/04,,,read,,,,1,0
32492682,Mroczna materia,Blake Crouch,"Crouch, Blake",Paweł Wieczorek,"=""8365521784""","=""9788365521781""",0,4.13,Zysk i S-ka,Hardcover,344,2016,2016,,2023/07/12,to-read,to-read (#72),to-read,,,,0,0
35432446,"Ciemny las (Wspomnienie o przeszłości Ziemi, #2)",Liu Cixin,"Cixin, Liu",Andrzej Jankowski,"=""838062050X""","=""9788380620506""",5,4.42,Dom Wydawniczy Rebis,Paperback,672,2017,2008,2023/07/04,2023/07/04,,,read,,,,1,0
54149980,Pod kluczem,Ruth Ware,"Ware, Ruth",Anna Tomczyk,"=""8366553663""","=""9788366553668""",4,3.92,Czwarta Strona,Paperback,416,2020,2019,2023/06/26,2023/06/23,,,read,,,,1,0
63213094,"Skarb (Rodzina Monet, #1)",Weronika Anna Marczak,"Marczak, Weronika Anna",,"=""8328725088""","=""9788328725089""",2,3.62,You&YA,Paperback,416,2022,2022,2023/06/22,2023/06/18,,,read,,,,1,0
41119108,Wędrówki i myśli porucznika Stukułki (powieść dokończona),Leopold Tyrmand,"Tyrmand, Leopold","Monika Dyrlica, Dagmara Klein","=""8377792737""","=""9788377792735""",4,3.67,MG,Hardcover,340,2016,,2022/08/03,2022/07/23,home-library,home-library (#116),read,Świetny lekko humorystyczny styl pisania. Jedna gwiazdka dodatkowo za epizod z młodym Czesławem Niemenem,,,1,0
43160327,Siedem śmierci Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",Łukasz Praski,"=""8381254744""","=""9788381254748""",4,3.83,Albatros,Hardcover,512,2019,2018,2022/08/30,2022/08/26,,,read,,,,1,0
54765617,Agatha Christie. Herkules Poirot. Śmierć na Nilu,Isabelle Bottier,"Bottier, Isabelle","Damien Callixte, Paweł Łapiński","=""""","=""9788328158467""",5,4.04,Egmont Polska,Paperback,68,2020,2019,2023/04/28,2023/04/28,,,read,,,,1,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Harvest Books,Paperback,536,1994,1980,,2022/07/26,to-read,to-read (#6),to-read,,,,0,0
1811146,"Harry Potter i Kamień Filozoficzny (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.","Andrzej Polkowski, Mary GrandPré","=""8372780110""","=""9788372780119""",5,4.47,Media Rodzina,Paperback,324,2000,1997,2023/04/19,2023/04/07,,,read,,,,1,0
60385914,Sklepy cynamonowe,Bruno Schulz,"Schulz, Bruno",,"=""8395386273""","=""9788395386275""",0,3.99,Piszmy po książkach,Paperback,124,2021,1933,2020/09/01,2022/07/21,home-library,home-library (#65),read,,,,1,0
25819273,"Polowanie (Spirit Animals, #2)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""8328006952""","=""9788328006959""",5,4.14,Wilga,Hardcover,340,2014,2014,2023/04/10,2023/02/25,,,read,,,,1,0
38321560,Un cadavre dans la bibliothèque: Miss Marple,Dominique Ziegler,"Ziegler, Dominique",Olivier Dauger,"=""2888908743""","=""9782888908746""",4,3.70,Paquet,Hardcover,64,2017,2017,2023/03/26,2023/03/26,,,read,,,,1,0
61376380,"20.000 Léguas Submarinas (Clássicos da Literatura em BD, #15)",Fabrizio Lo Bianco,"Bianco, Fabrizio Lo",Francesco Lo Storto,"=""9896828938""","=""9789896828936""",0,3.63,Levoir,Hardcover,64,2022,,,2023/03/07,to-read,to-read (#71),to-read,,,,0,0
43700282,Le Crime de l’Orient-Express,Benjamin von Eckartsberg,"Eckartsberg, Benjamin von",Chaiko,"=""288890876X""","=""9782888908760""",0,4.19,Paquet,Hardcover,64,2017,2017,,2023/03/07,to-read,to-read (#70),to-read,,,,0,0
1718295,Jadąc do Babadag,Andrzej Stasiuk,"Stasiuk, Andrzej",,"=""8389755017""","=""9788389755018""",3,3.69,Czarne,Paperback,321,2004,2004,2023/03/04,2022/07/23,home-library,home-library (#183),read,,,,1,0
59234191,Nadchodzi III wojna światowa. Czy Ameryka porzuci Polskę na pastwę Rosji?,Piotr Zychowicz,"Zychowicz, Piotr",Jacek Bartosiak,"=""8381883547""","=""9788381883542""",4,3.96,Dom Wydawniczy Rebis,Paperback,320,2021,2021,2023/02/27,2023/02/23,,,read,,,,1,0
25819232,"Zwierzoduchy (Spirit Animals, #1)",Brandon Mull,"Mull, Brandon",,"=""8328006944""","=""9788328006942""",5,4.01,Wilga,Hardcover,256,2014,2013,2023/02/25,2023/02/08,,,read,,,,1,0
44662139,Siedmiu mężów Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",Agnieszka Kalus,"=""8366278379""","=""9788366278370""",4,4.43,Czwarta Strona,Paperback,535,2019,2017,2023/02/13,2023/02/03,,,read,3.7,,,1,0
56242487,Golem,Maciej Płaza,"Płaza, Maciej",,"=""8328085119""","=""9788328085114""",0,3.96,Wydawnictwo W.A.B.,Paperback,320,2021,2021,,2023/02/08,to-read,to-read (#69),to-read,,,,0,0
12043531,Wynalazek Hugona Cabreta,Brian Selznick,"Selznick, Brian",Hanna Pasierska,"=""8310114370""","=""9788310114372""",5,4.22,Nasza Księgarnia,Hardcover,536,2008,2007,2023/02/04,2023/02/02,,,read,,,,1,0
41073028,Chrobot. Życie najzwyklejszych ludzi świata,Tomasz Michniewicz,"Michniewicz, Tomasz",,"=""8375154946""","=""9788375154948""",0,4.52,Otwarte,Hardcover,464,2018,2018,,2022/07/17,"bought-in-2022, home-library, waiting-to-be-read","bought-in-2022 (#24), home-library (#160), waiting-to-be-read (#26)",waiting-to-be-read,,,,0,0
44281070,"The Winterhouse Mysteries (Winterhouse, #3)",Ben Guterson,"Guterson, Ben",Chloe Bristol,"=""1250123925""","=""9781250123923""",5,3.99,Henry Holt and Co. (BYR),Hardcover,384,2019,2019,2023/01/26,2022/12/18,"bought-in-2022, home-library","bought-in-2022 (#29), home-library (#196)",read,,,,1,0
55283206,Chwilowa anomalia. O chorobach współistniejących naszego świata,Tomasz Michniewicz,"Michniewicz, Tomasz",,"=""8381350654""","=""9788381350655""",0,3.96,Otwarte,Hardcover,384,2020,2020,,2023/01/08,to-read,to-read (#68),to-read,,,,0,0
17255676,"Sandman, Tom 4: Dom lalki (część 2)",Neil Gaiman,"Gaiman, Neil","Chris Bachalo, Mike Dringenberg, Malcolm Jones III, Steve Parkhouse, Michael Zulli, Paulina Braiter-Ziemkiewicz","=""""","=""9788323796824""",5,4.40,Egmont,Paperback,124,2003,,2023/01/05,2023/01/03,,,read,,,,1,0
17255675,"Sandman, Tom 3: Dom lalki (część 1)",Neil Gaiman,"Gaiman, Neil","Chris Bachalo, Mike Dringenberg, Malcolm Jones III, Steve Parkhouse, Michael Zulli, Paulina Braiter-Ziemkiewicz","=""832379636X""","=""9788323796367""",5,4.30,Egmont,Paperback,112,2003,,2023/01/05,2023/01/03,,,read,"Osobliwy,  niepokojący i nieodkładalny",,,1,0
11717875,"Pięcioro dzieci i ""coś""",E. Nesbit,"Nesbit, E.",,"=""8372201668""","=""""",0,3.86,Wydawnictwo Zielona Sowa,Paperback,142,,1902,,2023/01/05,to-read-with-kids,to-read-with-kids (#27),to-read-with-kids,,,,0,0
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"Konigsburg, E.L.",,"=""0744583276""","=""9780744583274""",0,4.16,Gardners Books,Paperback,159,2003,1967,,2023/01/05,to-read-with-kids,to-read-with-kids (#26),to-read-with-kids,,,,0,0
61961471,Wymyślone miasto Lwów,Ziemowit Szczerek,"Szczerek, Ziemowit",,"=""8381915678""","=""9788381915670""",0,3.73,Czarne ,Paperback,248,2022,2022,,2023/01/05,to-read,to-read (#67),to-read,,,,0,0
38504949,1968. Czasy nadchodzą nowe,Ewa Winnicka,"Winnicka, Ewa",Cezary Łazarewicz,"=""8326826138""","=""9788326826139""",4,3.61,Agora S.A.,Hardcover,456,2018,2018,2023/01/05,2023/01/03,,,read,,,,1,0
58031965,"Miasto mosiądzu (Dewabad, #1)",S.A. Chakraborty,"Chakraborty, S.A.",Maciej Studencki,"=""8366657418""","=""9788366657410""",0,4.15,We need YA,Hardcover,585,2021,2017,,2023/01/04,to-read,to-read (#66),to-read,,,,0,0
56242760,Maria Curie,Ève Curie,"Curie, Ève","Ewa Curie, Hanna Szyllerowa, Agnieszka Rasińska-Bóbr","=""8328086166""","=""9788328086166""",5,4.35,Wydawnictwo W.A.B.,Paperback,504,2021,1937,2023/01/03,2022/10/15,"bought-in-2023, home-library","bought-in-2023 (#1), home-library (#201)",read,,,,1,0
40584349,"The Secrets of Winterhouse (Winterhouse, #2)",Ben Guterson,"Guterson, Ben",Chloe Bristol,"=""1250123909""","=""9781250123909""",5,3.96,Henry Holt and Company,Hardcover,371,2018,2018,2023/01/03,2022/12/21,"bought-in-2022, home-library","bought-in-2022 (#31), home-library (#194)",read,,,,1,0
49096080,"Alicja w krainie przyszłości, czyli jak działa sztuczna inteligencja",Ryszard Tadeusiewicz,"Tadeusiewicz, Ryszard","Maria Mazurek, Marcin Wierzchowski","=""8327716948""","=""9788327716941""",0,4.00,Mando,Hardcover,82,2019,,,2023/01/01,to-read-with-kids,to-read-with-kids (#25),to-read-with-kids,,,,0,0
37761101,"Sen Alicji, czyli jak działa mózg",Jerzy Vetulani,"Vetulani, Jerzy","Maria Mazurek, Marcin Wierzchowski","=""8327712985""","=""9788327712981""",0,4.28,Wydawnictwo Mando,Hardcover,74,2017,2017,,2023/01/01,to-read-with-kids,to-read-with-kids (#24),to-read-with-kids,,,,0,0
